GEO_ID,Disease,Normal,Condition,Pubmed_ID,Tissue,Platform
GSE781,Renal cell carcinoma,5,12,14641932,Kidney      ,HG-U133A
GSE14762,Renal cell carcinoma,12,9,19252501,Kidney      ,HG-U133 Plus 2.0
GSE6357,Renal cell carcinoma,12,6,27063186,CD8+    T Cell ,HG-U133A
GSE6344,Renal cell carcinoma,10,10,17699851,Clear cell RCC  cell RCC ,HG-U133A
GSE48352,Renal cell carcinoma,8,24,NA,Kidney      ,HG-U133 Plus 2.0
GSE1297,Alzheimer's disease ,9,7,14769913,Hippocampal CA1,HG-U133A
GSE5281EC,Alzheimer's disease ,13,10,17077275,"Brain, Entorhinal Cortex  Entorhinal Cortex ",HG-U133 Plus 2.0
GSE5281HIP,Alzheimer's disease ,13,10,17077275,"Brain, hippocampus   hippocampus  ",HG-U133 Plus 2.0
GSE5281VCX,Alzheimer's disease ,12,19,17077275,"Brain, primary visual cortex primary visual cortex",HG-U133 Plus 2.0
GSE16759,Alzheimer's disease ,8,4,20126538,Parietal lobe,HG-U133 Plus 2.0
GSE3467,Thyroid cancer ,9,9,16365291,Thyroid      ,HG-U133 Plus 2.0
GSE3678,Thyroid cancer ,7,7,NA,Thyroid      ,HG-U133 Plus 2.0
GSE58545,Thyroid cancer ,18,27,26625260,Thyroid      ,HG-U133A
GSE85457,Thyroid cancer ,3,4,NA,Thyroid      ,HG-U133 Plus 2.0
GSE58689,Thyroid cancer ,18,27,26625260,Thyroid      ,HG-U133A
GSE3585,Dilated cardiomyopathy ,5,7,17045896,"Heart, subendocardial left ventricular subendocardial left ventricular",HG-U133A
GSE33970,Dilated cardiomyopathy ,18,5,NA,Whole blood and heart blood and heart,HG-U133 Plus 2.0
GSE29819,Dilated cardiomyopathy ,12,14,22085907,"Heart, left and right left and right ventricular",HG-U133 Plus 2.0
GSE79962,Dilated cardiomyopathy ,11,9,NA,Heart      ,HuGene-10st
GSE21610,Dilated cardiomyopathy ,8,42,20460602,Heart      ,HG-U133 Plus 2.0
GSE4107,Colorectal cancer ,10,12,17317818,Colonic mucosa,HG-U133 Plus 2.0
GSE8671,Colorectal cancer ,32,32,18171984,Colon      ,HG-U133 Plus 2.0
